state,elec,income
25,781,56924
37,1234,41744
5,1159,34367
23,946,34228
45,1279,38129
47,1127,41051
15,991,50145
9,1027,65699
53,919,50602
55,771,44766
41,874,45249
49,707,48309
51,1117,52079
21,901,38675
27,853,48155
39,937,45430
19,959,40516
11,595,51604
17,930,52532
33,1032,49415
29,987,39935
31,911,40251
1,1225,37113
13,1176,46532
35,743,36790
26,795,46476
56,774,37828
48,1215,45370
28,1150,33627
44,721,47477
40,1028,34764
6,838,57795
54,899,32393
30,799,34485
24,1095,59115
46,973,35395
20,999,41953
22,1269,36151
2,1010,46818
50,946,38438
16,849,39012
32,910,49651
36,968,52387
8,735,52117
10,1130,48876
72,633,20708
12,1234,43948
4,1142,44263
18,915,43983
38,953,35074
34,1045,64353
42,958,42987
